DEPTO,rural,mujer,etnia_negra,etnia_indigena,etnia_ninguna,gedad_15,gedad_20,gedad_25,gedad_30,gedad_35,gedad_40,gedad_45,gedad_50,gedad_55,gedad_60
ATLANTICO,0.0393695212662275,0.507126025102419,0.103893678736823,0.00981859565008627,0.886287725613091,0.127355829855166,0.137924352484894,0.130372358455464,0.111317026151356,0.107148347597408,0.0966934939020126,0.0882674179152312,0.0914569244818622,0.0687289539267432,0.0407352952298622
BOLIVAR,0.207861301459336,0.49827745622073,0.225181406152838,0.0218051260998133,0.753013467747349,0.144321543112209,0.14926737881012,0.129680773300541,0.105555687713722,0.103644845877142,0.0916313329584279,0.0849707062801309,0.0838391866176792,0.0684635140128007,0.0386250313172271
CESAR,0.229771140124596,0.503880013582513,0.0447281749611769,0.041524566055692,0.913747258983131,0.163208664811145,0.153057810532085,0.130202095083256,0.109611346113533,0.0985948181878544,0.0895482987164092,0.0888537586277449,0.0660824487058259,0.0616754493910283,0.0391653098311186
CORDOBA,0.451579399309438,0.497869017142285,0.0619701435074357,0.140166048135931,0.797863808356633,0.16146333130496,0.139861052957692,0.138801379626665,0.112794326419657,0.0939201713891149,0.0875766825530265,0.0903080940517176,0.0727729188432565,0.0626674285800027,0.0398346142739091
LA GUAJIRA,0.439673755963098,0.510437664238863,0.0482740673062129,0.467387462184655,0.484338470509132,0.163977138189514,0.154714317187925,0.153541652463182,0.125964630170534,0.0966111737621951,0.0871226267204133,0.0707097668823739,0.062326886376679,0.0523773875113448,0.0326544207358394
MAGDALENA,0.242376443680646,0.495296418091995,0.19296567079182,0.0104859948072109,0.796548334400969,0.165951219872198,0.14740563346169,0.120783439432756,0.107667195905816,0.0982266742569378,0.0862826378585238,0.0883576533985641,0.0755639047047493,0.0674332214360977,0.0423284196726679
SUCRE,0.308474109362321,0.492297477820831,0.0232942055711491,0.0398517388221164,0.936854055606735,0.157047241711873,0.153878242535878,0.127877626444688,0.10593958413163,0.0975774187051617,0.0816748773024931,0.088854282466222,0.0800572402795785,0.0641217507987637,0.042971735623712
ARCHIPIELAGO DE SAN ANDRES,0.264514434797386,0.503931502406617,0.21427325096879,0.00527984238926622,0.780446906641943,0.133597644309044,0.129350572053257,0.120065147919882,0.0913149371715137,0.105023145313427,0.0763367598406752,0.0963273360002814,0.111968757912075,0.0937835527263101,0.0422321467535331
BOYACA,0.405076289149392,0.498626926375435,0.00138175905939129,0.00185432055480178,0.996763920385807,0.138314853368977,0.124026041461878,0.110680996452256,0.103725806835929,0.104270711927158,0.095840687756661,0.113372512124812,0.0814177463520534,0.0742681016663375,0.0540825420539385
CUNDINAMARCA,0.306755787703129,0.502259841823259,0.00243472187943922,0.0036090154244057,0.993956262696155,0.136531690516318,0.149109729128364,0.132552202880726,0.102426755791382,0.0986789375832401,0.0898081329219278,0.0945028979746604,0.0851690476308457,0.0670458255705402,0.0441747800019956
META,0.222331708326498,0.508680221286531,0.0219198477910879,0.00655576564778606,0.971524386561126,0.140390785107122,0.130252306158428,0.133128065061012,0.125454776162356,0.113347195039832,0.079957993262348,0.097351616053507,0.0869416376279181,0.0603659629439641,0.0328096625835129
NORTE DE SANTANDER,0.197488669136691,0.5071032761316,0.00290423193318511,0.00306551434868272,0.994030253718132,0.1610504476079,0.137576902172116,0.133537511979753,0.102222336985241,0.0983450566103666,0.0856286703332374,0.0920402729082533,0.075717935889538,0.0704966469274147,0.0433842185861815
